id,song,artist,album,year,i,j,k,disruption
"1552","13-Ho-ba La-la.mp3", "Sivuca","[1965] - Sivuca - 1965 - RendezVous a Rio (Forró em vinil)","1965",16,17,93,-0.007937
"12916","08 - Mulher se trata com carinho.mp3", "manoel serafim","[1986] - manoel serafim - 1986 - Hoje tem forró (Forró em vinil)","1986",3,10,867,-0.007955
"19079","02 Chorei, chorão.mp3", "Luiz Gonzaga","[1999] - Luiz Gonzaga - 1999 - Xodó (Forró em vinil)","1999",1,3,244,-0.008065
"1213","12 - O Bom Xaxador.mp3", "Jackson do Pandeiro","[1964] - Jackson do Pandeiro - 1964 - E vamos nós (Forró em vinil)","1964",65,70,484,-0.008078
"7053","02 Bandinha afinada.mp3", "Assisão","[1978] - Assisão - 1978 - Em ondas quentes (Forró em vinil)","1978",1,3,243,-0.008097
"1682","10 Na Fazenda do Reizinho.mp3", "Gerson Filho","[1966] - Gerson Filho - 1966 - Retalhos do Nordeste (Forró em vinil)","1966",29,31,185,-0.008163
"19308","04 São Severino Mártir.mp3", "Elino Julião","[2000] - Elino Julião - 2000 - O canto do Seridó (Forró em vinil)","2000",1,4,362,-0.008174
"6064","09 São João nas Capitá.mp3", "Luiz Gonzaga","[1976] - Luiz Gonzaga - 1976 - Capim Novo (forro em vinil)","1976",2,3,117,-0.008197
"22957","06 - Deixa está.mp3", "Trio Curió","[2008] - Trio Curió - 2008 - Trio Curió (Forró em vinil)","2008",1,3,237,-0.008299
"17298","09 Isso é que é bom.mp3", "Nando Cordel","[1995] - Nando Cordel - 1995 - Nando Cordel (Forró em vinil)","1995",1,11,1169,-0.008467
"6714","06. Assim é que se toca.mp3", "Luizinho Calixto","[1977] - Luizinho Calixto - 1977 - O bom tocador (Forró em vinil)","1977",4,5,105,-0.008772
"7746","05 Mesmo sem perfume.mp3", "Chico Santos","[1979] - Chico Santos - 1979 - Forró nacional (Forró em vinil)","1979",2,3,103,-0.009259
"3535","06 - Meu pequeno cachoeiro.mp3", "Luiz Gonzaga","[1972] - Luiz Gonzaga - 1972 - Aquilo bom (Forró em vinil)","1972",6,9,296,-0.009646
"15703","01 O vôo das andorinhas.mp3", "Os nordestinos do ritmo","[1993] - 1993 - Os nordestinos do ritmo - O vôo das andorinhas (Forró em vinil)","1993",1,5,407,-0.009685
"2042","06. Chegou São João.mp3", "Severino Januário","[1967] - Severino Januário - 1967 - Pagode sertanejo (Forró em vinil)","1967",4,5,93,-0.009804
"5884","12 - assim amem.mp3", "Banda de Pau de Corda","[1976] - Banda de Pau de Corda - 1976 - Assim amém (Forró em vinil)","1976",4,11,696,-0.009845
"1238","08 Borrachinha - Nascimento grande.mp3", "Jackson do Pandeiro","[1964] - Jackson do Pandeiro - 1964 - São João no brejo (Forró em vinil)","1964",19,21,161,-0.009950
"14570","1- Forró do Mela Mela.mp3", "Ceara da Bocada","[1990] - Ceara da Bocada - 1990 - Forró do mela mela (Forró em vinil)","1990",1,7,594,-0.009967
"21304","13 Toninho Horta - A magia do olhar (thais nara).mp3", "Toninho Horta","[2004] - Toninho Horta - 2004 - Com um pé no forró (Forró em vinil)","2004",1,2,97,-0.010000
"9243","09 Tá rabufado.mp3", "Camarão","[1981] - Camarão - 1981 - A bandinha do Camarão (Forró em vinil)","1981",1,14,1279,-0.010046
"20197","08 Sua Pele Branca.mp3", "Forróçacana","[2002] - 2002 - Forróçacana - Forróçacana (Forró em vinil)","2002",1,16,1467,-0.010108
"14969","03. Morena de Angola.mp3", "Elba Ramalho","[1991] - Elba Ramalho - 1991 - Felicidade Urgente (Forró em vinil)","1991",2,4,190,-0.010204
"6999","02 - Nossa Senhora de Nazaré.mp3", "Abdias","[1978] - Abdias - 1978 - Um Oito Baixos sem Pantim (Forró em vinil)","1978",2,4,190,-0.010204
"3165","12-No dia que eu vim me embora.mp3", "Luiz Gonzaga","[1971] - Luiz Gonzaga - 1971 - O canto jovem de Luiz Gonzaga (Forró em vinil)","1971",17,20,256,-0.010239
"3662","07-Coisa nº10.mp3", "Sivuca","[1972] - Sivuca - 1972 - Sivuca at the Village Gate (Forró em vinil)","1972",13,18,454,-0.010309
"8447","06 Foi Deus Quem Fez Você.mp3", "Amelinha","[1980] - Amelinha - 1980 - Porta Secreta (Forró em vinil)","1980",4,10,568,-0.010309
"3961","10 São João do Majó.mp3", "Clemilda","[1973] - Clemilda - 1973 - Forró sem briga (Forró em vinil)","1973",8,13,462,-0.010352
"11530","11- Forró Granfino.mp3", "Bons tempos","[1984] - Bons tempos -  1984 - Forró (Forró em vinil)","1984",3,5,185,-0.010363
"7287","08 nunca mais eu vi esperança.mp3", "Luiz Gonzaga","[1978] - Luiz Gonzaga - 1978 - Dengo maior (Forró em vinil)","1978",1,8,665,-0.010386
