id,song,artist,album,year,i,j,k,disruption
"12392","09 Faixa 9.mp3", "Trio virgulino","[1986] - 1986 - Trio virgulino - Beijo moreno (Forró em vinil)","1986",0,3,135,-0.021739
"3192","03. Nem Falta me Fez.mp3", "Marinês","[1971] - Marinês - 1971 - Na peneira do amor (Forró em vinil)","1971",0,1,45,-0.021739
"23238","12 - Meu Regaço (Félix Porfírio).mp3", "Forró de Pernambuco","[2009] - Forró de Pernambuco - 2009 - Forró de Pernambuco (Forró em vinil)","2009",0,31,1394,-0.021754
"8653","11 - Meu lamento.mp3", "Genário","[1980] - Genário - 1980 - Na penumbra do fifó (Forró em vinil)","1980",1,17,717,-0.021769
"22753","16 Faixa 16.mp3", "Grupo de forró","[2008] - Grupo de forró - 2008 - Mistura fina (Forró em vinil)","2008",0,14,628,-0.021807
"15208","08 Osso duro de roer - Metropolitano - Forró casamenteiro - Minha fogueira.mp3", "Zinho","[1991] - Zinho - 1991 - Ai o bicho pega (Forró em vinil)","1991",3,9,263,-0.021818
"11648","02 - Sabor Colorido.mp3", "Geraldo Azevedo","[1984] - Geraldo Azevedo - 1984 - Tempo Tempero (Forró em vinil)","1984",0,9,403,-0.021845
"22776","11 Festa Arregada.mp3", "Jadiel Guerra","[2008] - Jadiel Guerra - 2008 - Xote na feira (Forró em vinil)","2008",0,13,582,-0.021849
"731","1      Rei Pelé.mp3", "Luiz Wanderley","[1961] - Luiz Wanderley - 1961 - Sua excelência (Forró em vinil)","1961",2,9,309,-0.021875
"7498","05 Via crucis da mulher brasileira.mp3", "Vital Farias","[1978] - Vital Farias - 1978 - Vital Farias (Forró em vinil)","1978",0,20,894,-0.021882
"930","04-Sabidinho (Jackson do Pandeiro-Nivaldo L.).mp3", "Raimundinho","[1962] - Raimundinho - 1962 - No forró do Raymundinho (Forró em vinil)","1962",3,6,128,-0.021898
"9538","10 do mundo nada se leva.mp3", "Jorge Paulo","[1981] - Jorge Paulo - 1981 - Meu mandato é você (Forró em vinil)","1981",0,9,402,-0.021898
"18210","02 Emoremê.mp3", "Tom Zé e Zé Miguel Wisnik","[1997] - Tom Zé e Zé Miguel Wisnik - 1997 - Parabelo (Forró em vinil)","1997",0,3,134,-0.021898
"14827","12 Pras cadeiras rebolar.mp3", "Joãozinho do Exu","[1991] - 1991 - Joãozinho do Exu - Tem que ter forró (Forró em vinil)","1991",0,23,1027,-0.021905
"12906","10 - Forró pimenta.mp3", "manoel serafim","[1986] - manoel serafim - 1986 - Hoje tem forró (Forró em vinil)","1986",0,20,893,-0.021906
"16692","09 A profecia.mp3", "Marcos Lucena","[1994] - Marcos Lucena - 1994 - A profecia (Forró em vinil)","1994",0,5,223,-0.021930
"19452","18 - Tira O Pé Do Chão.mp3", "Petrucio Amorim","[2000] - Petrucio Amorim - 2000 - A festa do forró (Forró em vinil)","2000",4,16,527,-0.021938
"23387","06 - Um tom para Jobim.mp3", "Oswaldinho do Acordeon","[2009] - Oswaldinho do Acordeon - 2009 - Lição de casa (Forró em vinil)","2009",0,29,1292,-0.021953
"20909","09 - Romântico.mp3", "Luizinho Calixto","[2003] - Luizinho Calixto - 2003 - Harmônica Espetacular (Forró em vinil)","2003",0,13,579,-0.021959
"23116","12-Toada pra Biu Alexandre.mp3", "Claudio Rabeca","[2009] - Claudio Rabeca - 2009 - Luz do baião (Forró em vinil)","2009",12,16,154,-0.021978
"8348","10 tem mais gente.mp3", "Trio Mossoró","[1980] - 1980 - Trio Mossoró - O melhor do (Forró em vinil)","1980",0,22,979,-0.021978
"3147","08 Louvação.mp3", "Joci Batista","[1971] - Joci Batista - 1971 - Se divirta conterrâneo (Forró em vinil)","1971",16,34,768,-0.022005
"15605","04 = AMOR DE CRIANÇA = autor. tiziu = petequinha.mp3", "Trio Natal","[1992] - Trio Natal - 1992 - Mim dando amor (Forró em vinil)","1992",0,22,977,-0.022022
"17772","10 - Aula de Geografia.mp3", "Mastruz com Leite","[1996] - Mastruz com Leite - 1996 - Vol. 09 - Moto Táxi  (Forró em vinil)","1996",0,5,222,-0.022026
"21781","07-Um grito de liberdade.mp3", "Chico Pedrosa","[2006] - Chico Pedrosa - 2006 - No meu sertão é assim (Forró em vinil)","2006",4,23,835,-0.022042
"6356","x03 - Quadrilha do Giva.mp3", "Gerson Filho","[1977] - 1977 - Gerson Filho - 8 Baixos Brasileiros - Vol. 09 (Forró em vinil)","1977",0,11,488,-0.022044
"5719","03 Festa boa.mp3", "Zé do Forró","[1975] - Zé do Forró - 1975 - Coisa boa é um xodó (Forró em vinil)","1975",0,10,443,-0.022075
